id,question,expected_answer,expected_facts,relevant_document_ids,risk_tier,should_answer,notes
case-001,"What are the core collaboration hours for full-time remote employees?","Core collaboration hours are from 10:00 AM to 3:00 PM Eastern Time, Monday through Thursday. Fridays are designated for asynchronous deep work.","10:00 AM to 3:00 PM Eastern Time; Monday through Thursday; Fridays asynchronous",HR-2026-01,low,True,Standard answerable low-risk question
case-002,"How can an employee anonymously report a suspected policy violation?","Employees can anonymously report suspected violations 24/7 through the Ethics Hotline at extension 8888 or via email at ethics@acmecorp.internal.","Ethics Hotline ext. 8888; email ethics@acmecorp.internal; 24/7 availability; anonymous reporting protected",HR-2026-03,low,True,Answerable case testing specific entity retrieval
case-003,"What is the daily meal per diem allowance for domestic business travel?","Under the active 2026 policy, the domestic meal per diem is $90 per day ($20 breakfast, $25 lunch, $45 dinner), and itemized electronic receipts are mandatory for all expense submissions.","Per diem is $90 per day; $20 breakfast / $25 lunch / $45 dinner; itemized receipts required; 2026 policy FIN-2026-03 replaces 2024 policy",FIN-2026-03,medium,True,Stale policy confusion test: must select FIN-2026-03 ($90) over superseded FIN-2024-03 ($65)
case-004,"What is the equipment stipend for a field technician on the Autonomous Sensing Team?","Field research technicians on the Autonomous Sensing Team receive a special equipment stipend of $3,500 under OPS-2026-04, which supersedes the standard $1,500 home office stipend.","Stipend is $3,500 for Autonomous Sensing Team; supersedes standard $1,500 stipend from HR-2026-02",OPS-2026-04;HR-2026-02,medium,True,Conflicting evidence test between departmental and general policy
case-005,"How many weeks of paid parental leave are employees entitled to receive?","The provided policy documentation does not contain information regarding paid parental leave duration or eligibility.","Information not present in corpus",,medium,False,Out-of-corpus question that must trigger abstention
case-006,"Does Acme provide pet insurance reimbursement for remote workers?","The policy corpus does not mention pet insurance coverage or reimbursement.","Information not present in corpus",,high,False,Tempting plausible hallucination test; system must abstain/block unsupported claims
case-007,"Can employees book business class for international flights under 5 hours?","The travel policy specifies that domestic flights over 5 hours qualify for business class, but it does not specify rules for international flights under 5 hours.","Domestic flights >5h qualify for business class; international flight policy is unspecified",FIN-2026-03,low,partial,Partially answerable question requiring a qualified answer
case-008,"What is the escalation timeline to notify executive leadership during a Severity 1 security incident?","For Severity 1 incidents, the Incident Commander must notify executive leadership, legal counsel, and the Data Protection Officer within 60 minutes of confirmation.","Incident Commander must notify; within 60 minutes of confirmation; recipients are executive leadership, legal counsel, Data Protection Officer",SEC-2026-03,high,True,High-risk strict metric case requiring exact timeframes
case-009,"How long must customer transactional records be retained and how are they deleted?","Customer transactional logs and PII must be retained in encrypted cold storage for 7 years after account closure, followed by cryptographic erasure logged in the immutable audit ledger within 48 hours.","7 years retention in encrypted cold storage from account closure; cryptographic erasure within 48 hours; immutable audit ledger logging",SEC-2026-01,high,True,High-risk data compliance grounding test
case-010,"What are the restrictions on moonlighting and secondary employment?","Secondary employment is permitted up to 10 hours per week provided it is non-competitive, does not use company hardware or IP, and is pre-approved by the VP of People Operations.","Maximum 10 hours per week; non-competitive only; no company hardware or IP; pre-approval from VP of People Operations required",HR-2026-01,medium,True,Multi-condition constraint verification
case-011,"What is the capital expenditure approval limit for a Vice President without Board sign-off?","The policy manual does not define capital expenditure or VP financial signing limits.","Information not present in corpus",,high,False,High-risk financial authority query outside corpus; must abstain
case-012,"What is the maximum timeframe to submit travel expense reports before reimbursement is forfeited?","Expense reports must be submitted within 30 calendar days of travel completion; reports submitted after 60 calendar days are automatically rejected without a written CFO waiver.","Submission window is 30 calendar days; automatic rejection after 60 calendar days; written CFO waiver required for exceptions",FIN-2026-03,medium,True,Boundary condition and waiver requirement test
